Release,Date,Bases,Sequences,,
3,12/1/1982,680338,606,,
14,11/1/1983,2274029,2427,,
20,5/1/1984,3002088,3665,,
24,9/1/1984,3323270,4135,,
25,10/1/1984,3368765,4175,,
26,11/1/1984,3689752,4393,,
32,5/1/1985,4211931,4954,,
36,9/1/1985,5204420,5700,,
40,2/1/1986,5925429,6642,,
42,5/1/1986,6765476,7416,,
44,8/1/1986,8442357,8823,,
46,11/1/1986,9615371,9978,,
48,2/1/1987,10961380,10913,,
50,5/1/1987,13048473,12534,,
52,8/1/1987,14855145,14020,,
53,9/1/1987,15514776,14584,,
54,12/1/1987,16752872,15465,,
55,3/1/1988,19156002,17047,,
56,6/1/1988,20795279,18226,,
57,9/1/1988,22019698,19044,,
57.1,10/1/1988,23800000,20579,,
58,12/1/1988,24690876,21248,,
59,3/1/1989,26382491,22479,,
60,6/1/1989,31808784,26317,,
61,9/1/1989,34762585,28791,,
62,12/1/1989,37183950,31229,,
63,3/1/1990,40127752,33377,,
64,6/1/1990,42495893,35100,,
65,9/1/1990,49179285,39533,,
66,12/1/1990,51306092,41057,,
67,3/1/1991,55169276,43903,,
68,6/1/1991,65868799,51418,,
69,9/1/1991,71947426,55627,,
70,12/1/1991,77337678,58952,,
71,3/1/1992,83894652,65100,,
72,6/1/1992,92160761,71280,,
73,9/1/1992,101008486,78608,,
74,12/1/1992,120242234,97084,,
75,2/1/1993,126212259,106684,,
76,4/1/1993,129968355,111911,,
77,6/1/1993,138904393,120134,,
78,8/1/1993,147215633,131328,,
79,10/1/1993,157152442,143492,,
80,12/1/1993,163802597,150744,,
81,2/1/1994,173261500,162946,,
82,4/1/1994,180589455,169896,,
83,6/1/1994,191393939,182753,,
84,8/1/1994,201815802,196703,,
85,10/1/1994,217102462,215273,,
86,12/1/1994,230485928,237775,,
87,2/1/1995,248499214,269478,,
88,4/1/1995,286094556,352414,,
89,6/1/1995,318624568,425211,,
90,8/1/1995,353713490,492483,,
91,10/1/1995,384939485,555694,,
92,12/1/1995,425860958,620765,,
93,2/1/1996,463758833,685693,,
94,4/1/1996,499127741,744295,,
95,6/1/1996,551750920,835487,,
96,8/1/1996,602072354,920588,,
97,10/1/1996,651972984,1021211,,
98,12/1/1996,730552938,1114581,,
99,2/1/1997,786898138,1192505,,
100,4/1/1997,842864309,1274747,,
101,6/1/1997,966993087,1491069,,
102,8/1/1997,1053474516,1610848,,
103,10/1/1997,1160300687,1765847,,
104,12/1/1997,1258290513,1891953,,
105,2/1/1998,1372368913,2042325,,
106,4/1/1998,1502542306,2209232,,
107,6/1/1998,1622041465,2355928,,
108,8/1/1998,1797137713,2532359,,
109,10/1/1998,2008761784,2837897,,
110,12/1/1998,2162067871,3043729,,
111,4/1/1999,2569578208,3525418,,
112,6/1/1999,2974791993,4028171,,
113,8/1/1999,3400237391,4610118,,
114,10/1/1999,3841163011,4864570,,
115,12/1/1999,4653932745,5354511,,
116,2/1/2000,5805414935,5691170,,
117,4/1/2000,7376080723,6215002,,
118,6/1/2000,8604221980,7077491,,
119,8/1/2000,9545724824,8214339,,
120,10/1/2000,10335692655,9102634,,
121,12/1/2000,11101066288,10106023,,
122,2/1/2001,11720120326,10896781,,
123,4/1/2001,12418544023,11545572,,
124,6/1/2001,12973707065,12243766,,
125,8/1/2001,13543364296,12813516,,
126,10/1/2001,14396883064,13602262,,
127,12/1/2001,15849921438,14976310,,
